headset,year,resolution,refresh_rate,resolution_width,resolution_height,total_pixels
Meta Quest 3,2023,2064x2208,120,2064,2208,4557312
Bigscreen Beyond,2023,2560x2560,90,2560,2560,6553600
AjnaLens AjnaXR,2023,1600x1600,90,1600,1600,2560000
AjnaXR Enterprise Edition,2023,2280x2280,90,2280,2280,5198400
Pico G3,2023,1832x1920,90,1832,1920,3517440
Lenovo ThinkReality VRX,2023,2280x2280,90,2280,2280,5198400
Pimax Crystal QLED,2023,2880x2880,160,2880,2880,8294400
HTC Vive XR Elite,2023,1920x1920,90,1920,1920,3686400
PlayStation VR2,2023,2000x2040,120,2000,2040,4080000
DPVR E4,2023,1832x1920,120,1832,1920,3517440
Pico 4 Enterprise,2022,2160x2160,90,2160,2160,4665600
Pico 4 Pro,2022,2160x2160,90,2160,2160,4665600
Lynx R1,2022,1600x1600,90,1600,1600,2560000
Meta Quest Pro,2022,1800x1920,90,1800,1920,3456000
Pico 4,2022,2160x2160,90,2160,2160,4665600
Skyworth Pancake 1C,2022,1600x1600,90,1600,1600,2560000
Lenovo Legion VR700,2022,1832x1920,90,1832,1920,3517440
YVR 2,2022,1600x1600,90,1600,1600,2560000
YVR 1,2022,2160x2160,90,2160,2160,4665600
Canon MREAL X1,2022,1920x2160,120,1920,2160,4147200
VRgineers XTAL 3,2022,3840x2160,120,3840,2160,8294400
VRgineers XTAL 3 Mixed Reality,2022,3840x2160,120,3840,2160,8294400
Pico Neo 3 Link,2022,1832x1920,90,1832,1920,3517440
iQIYI Qiyu Dream Pro,2022,1832x1920,90,1832,1920,3517440
Skyworth W1 Pro,2021,1600x1600,72,1600,1600,2560000
iQIYI Qiyu 3,2021,2160x2160,90,2160,2160,4665600
iQIYI Qiyu Dream,2021,1280x1440,72,1280,1440,1843200
HTC Vive Flow,2021,1600x1600,75,1600,1600,2560000
Huawei VR Glass 6DoF,2021,1600x1600,90,1600,1600,2560000
Arpara VR,2021,2560x2560,120,2560,2560,6553600
DPVR P1 Ultra 4K,2021,1920x2160,90,1920,2160,4147200
DPVR P1 Pro Light,2021,1280x1440,90,1280,1440,1843200
HTC Vive Focus 3,2021,2448x2448,90,2448,2448,5992704
Nolo Sonic,2021,1920x2160,72,1920,2160,4147200
HTC Vive Pro 2,2021,2448x2448,120,2448,2448,5992704
